2026-07-23 11:58:58,624 | INFO     | ticket.py | get_assigned_tickets | Line 39 | Admin get assigned tickets page arrived
2026-07-23 11:59:09,242 | INFO     | ticket.py | get_assigned_tickets | Line 39 | Admin get assigned tickets page arrived
2026-07-23 11:59:17,233 | INFO     | auth.py | login | Line 46 | Login post page arrived
2026-07-23 11:59:17,368 | INFO     | ticket.py | get_assigned_tickets | Line 39 | Admin get assigned tickets page arrived
2026-07-23 11:59:20,155 | INFO     | ticket.py | get_assigned_tickets | Line 39 | Admin get assigned tickets page arrived
2026-07-23 11:59:27,022 | INFO     | auth.py | login | Line 46 | Login post page arrived
2026-07-23 11:59:27,128 | INFO     | admin.py | get_all_employees | Line 32 | Admin get all employees  page arrived
2026-07-23 11:59:27,136 | INFO     | admin.py | get_all_teams | Line 48 | Admin get all teams  page arrived
2026-07-23 11:59:36,293 | INFO     | admin.py | get_all_employees | Line 32 | Admin get all employees  page arrived
2026-07-23 11:59:36,308 | INFO     | admin.py | get_all_teams | Line 48 | Admin get all teams  page arrived
2026-07-23 11:59:37,267 | INFO     | admin.py | get_all_employees | Line 32 | Admin get all employees  page arrived
2026-07-23 11:59:37,274 | INFO     | admin.py | get_all_teams | Line 48 | Admin get all teams  page arrived
2026-07-23 11:59:37,331 | INFO     | admin.py | assign_team | Line 175 | Admin assign team page arrived
2026-07-23 11:59:37,431 | INFO     | admin.py | get_all_employees | Line 32 | Admin get all employees  page arrived
2026-07-23 11:59:37,438 | INFO     | admin.py | get_all_teams | Line 48 | Admin get all teams  page arrived
2026-07-23 11:59:41,080 | INFO     | admin.py | get_all_employees | Line 32 | Admin get all employees  page arrived
2026-07-23 11:59:41,088 | INFO     | admin.py | get_all_teams | Line 48 | Admin get all teams  page arrived
2026-07-23 11:59:49,266 | INFO     | auth.py | login | Line 46 | Login post page arrived
2026-07-23 11:59:49,364 | INFO     | ticket.py | get_team_open_tickets | Line 75 | Admin get team open tickets page arrived
2026-07-23 11:59:49,380 | INFO     | ticket.py | get_assigned_tickets | Line 39 | Admin get assigned tickets page arrived
2026-07-23 11:59:53,714 | INFO     | ticket.py | get_team_open_tickets | Line 75 | Admin get team open tickets page arrived
2026-07-23 11:59:53,734 | INFO     | ticket.py | accept_ticket | Line 208 | Support agent accept ticket page arrived
2026-07-23 11:59:53,818 | INFO     | ticket.py | get_team_open_tickets | Line 75 | Admin get team open tickets page arrived
2026-07-23 11:59:53,826 | INFO     | ticket.py | get_assigned_tickets | Line 39 | Admin get assigned tickets page arrived
2026-07-23 12:00:33,995 | INFO     | ticket.py | get_team_open_tickets | Line 75 | Admin get team open tickets page arrived
2026-07-23 12:00:34,005 | INFO     | ticket.py | get_assigned_tickets | Line 39 | Admin get assigned tickets page arrived
2026-07-23 12:00:58,875 | INFO     | auth.py | login | Line 46 | Login post page arrived
2026-07-23 12:01:08,881 | INFO     | auth.py | login | Line 46 | Login post page arrived
